[2020-03-14 10:21:09] [info]  [ 6820] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:21:09] [info]  [ 6820] Running 'Tomcat8' Service...
[2020-03-14 10:21:09] [info]  [  124] Starting service...
[2020-03-14 10:21:11] [info]  [  124] Service started in 1198 ms.
[2020-03-14 10:22:16] [info]  [  936] Stopping service...
[2020-03-14 10:22:17] [info]  [  936] Service stop thread completed.
[2020-03-14 10:22:18] [info]  [ 6820] Run service finished.
[2020-03-14 10:22:18] [info]  [ 6820] Commons Daemon procrun finished
[2020-03-14 10:22:18] [info]  [ 6772] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:22:18] [info]  [ 6772] Running 'Tomcat8' Service...
[2020-03-14 10:22:18] [info]  [ 4380] Starting service...
[2020-03-14 10:22:19] [info]  [ 4380] Service started in 1180 ms.
[2020-03-14 10:23:46] [info]  [ 2776] Stopping service...
[2020-03-14 10:23:47] [info]  [ 2776] Service stop thread completed.
[2020-03-14 10:23:47] [info]  [ 6772] Run service finished.
[2020-03-14 10:23:47] [info]  [ 6772] Commons Daemon procrun finished
[2020-03-14 10:23:47] [info]  [ 9848] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:23:47] [info]  [ 9848] Running 'Tomcat8' Service...
[2020-03-14 10:23:47] [info]  [ 9776] Starting service...
[2020-03-14 10:23:49] [info]  [ 9776] Service started in 1215 ms.
[2020-03-14 10:24:31] [info]  [ 1980] Stopping service...
[2020-03-14 10:24:32] [info]  [ 1980] Service stop thread completed.
[2020-03-14 10:24:32] [info]  [ 9848] Run service finished.
[2020-03-14 10:24:32] [info]  [ 9848] Commons Daemon procrun finished
[2020-03-14 10:24:33] [info]  [ 8828] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:24:33] [info]  [ 8828] Running 'Tomcat8' Service...
[2020-03-14 10:24:33] [info]  [ 9664] Starting service...
[2020-03-14 10:24:34] [info]  [ 9664] Service started in 1187 ms.
[2020-03-14 10:24:53] [info]  [ 6708] Stopping service...
[2020-03-14 10:24:54] [info]  [ 6708] Service stop thread completed.
[2020-03-14 10:24:54] [info]  [ 8828] Run service finished.
[2020-03-14 10:24:54] [info]  [ 8828] Commons Daemon procrun finished
[2020-03-14 10:24:54] [info]  [ 9268] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:24:54] [info]  [ 9268] Running 'Tomcat8' Service...
[2020-03-14 10:24:55] [info]  [ 2432] Starting service...
[2020-03-14 10:24:56] [info]  [ 2432] Service started in 1188 ms.
[2020-03-14 10:30:43] [info]  [ 6232] Stopping service...
[2020-03-14 10:30:44] [info]  [ 6232] Service stop thread completed.
[2020-03-14 10:30:45] [info]  [ 9268] Run service finished.
[2020-03-14 10:30:45] [info]  [ 9268] Commons Daemon procrun finished
[2020-03-14 10:30:45] [info]  [ 4140] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:30:45] [info]  [ 4140] Running 'Tomcat8' Service...
[2020-03-14 10:30:45] [info]  [ 2280] Starting service...
[2020-03-14 10:30:47] [info]  [ 2280] Service started in 1248 ms.
[2020-03-14 10:30:49] [info]  [ 4140] Run service finished.
[2020-03-14 10:30:49] [info]  [ 4140] Commons Daemon procrun finished
[2020-03-14 10:31:19] [info]  [ 4444] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:31:19] [info]  [ 4444] Running 'Tomcat8' Service...
[2020-03-14 10:31:19] [info]  [ 3936] Starting service...
[2020-03-14 10:31:20] [info]  [ 3936] Service started in 1181 ms.
[2020-03-14 10:33:29] [info]  [ 5300] Stopping service...
[2020-03-14 10:33:30] [info]  [ 5300] Service stop thread completed.
[2020-03-14 10:33:30] [info]  [ 4444] Run service finished.
[2020-03-14 10:33:30] [info]  [ 4444] Commons Daemon procrun finished
[2020-03-14 10:33:30] [info]  [ 9732] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:33:31] [info]  [ 9732] Running 'Tomcat8' Service...
[2020-03-14 10:33:31] [info]  [ 7632] Starting service...
